No.;Time;;Time 1;Time 2;Delay;Total Delay;Rata Rata delay;Delay 1;Delay 2;Jitter;Total Jitter;Rata rata jiter
1;0;;0;0,000024;0,000024;917,495018;0,023870721;-0,413399;0,413107;0,826506;0,585431;1,52E-05
2;0,000024;;0,000024;0,413447;0,413423;;;0,413107;-0,059396;-0,472503;;
3;0,413447;;0,413447;0,413763;0,000316;;;-0,059396;0,047527;0,106923;;
4;0,413763;;0,413763;0,473475;0,059712;;;0,047527;-0,018347;-0,065874;;
5;0,473475;;0,473475;0,48566;0,012185;;;-0,018347;0,01898;0,037327;;
6;0,48566;;0,48566;0,516192;0,030532;;;0,01898;-0,155342;-0,174322;;
7;0,516192;;0,516192;0,527744;0,011552;;;-0,155342;-0,06717;0,088172;;
8;0,527744;;0,527744;0,694638;0,166894;;;-0,06717;0,166627;0,233797;;
9;0,694638;;0,694638;0,928702;0,234064;;;0,166627;-0,351196;-0,517823;;
10;0,928702;;0,928702;0,996139;0,067437;;;-0,351196;0,359989;0,711185;;
11;0,996139;;0,996139;1,414772;0,418633;;;0,359989;0,058642;-0,301347;;
12;1,414772;;1,414772;1,473416;0,058644;;;0,058642;-0,041765;-0,100407;;
13;1,473416;;1,473416;1,473418;2,00E-06;;;-0,041765;-0,062307;-0,020542;;
14;1,473418;;1,473418;1,515185;0,041767;;;-0,062307;0,050588;0,112895;;
15;1,515185;;1,515185;1,619259;0,104074;;;0,050588;-0,19913;-0,249718;;
16;1,619259;;1,619259;1,672745;0,053486;;;-0,19913;0,252613;0,451743;;
17;1,672745;;1,672745;1,925361;0,252616;;;0,252613;-0,060502;-0,313115;;
18;1,925361;;1,925361;1,925364;3,00E-06;;;-0,060502;0,060504;0,121006;;
19;1,925364;;1,925364;1,985869;0,060505;;;0,060504;-0,119616;-0,18012;;
20;1,985869;;1,985869;1,98587;1,00E-06;;;-0,119616;0,080119;0,199735;;
21;1,98587;;1,98587;2,105487;0,119617;;;0,080119;0,010066;-0,070053;;
22;2,105487;;2,105487;2,144985;0,039498;;;0,010066;-0,024828;-0,034894;;
23;2,144985;;2,144985;2,174417;0,029432;;;-0,024828;0,046539;0,071367;;
24;2,174417;;2,174417;2,228677;0,05426;;;0,046539;-0,034003;-0,080542;;
25;2,228677;;2,228677;2,236398;0,007721;;;-0,034003;-0,098624;-0,064621;;
26;2,236398;;2,236398;2,278122;0,041724;;;-0,098624;0,084808;0,183432;;
27;2,278122;;2,278122;2,41847;0,140348;;;0,084808;0,055345;-0,029463;;
28;2,41847;;2,41847;2,47401;0,05554;;;0,055345;-0,039807;-0,095152;;
29;2,47401;;2,47401;2,474205;0,000195;;;-0,039807;-0,360936;-0,321129;;
30;2,474205;;2,474205;2,514207;0,040002;;;-0,360936;0,400755;0,761691;;
31;2,514207;;2,514207;2,915145;0,400938;;;0,400755;7,90E-05;-0,400676;;
32;2,915145;;2,915145;2,915328;0,000183;;;7,90E-05;-0,077401;-0,07748;;
33;2,915328;;2,915328;2,915432;0,000104;;;-0,077401;0,077499;0,1549;;
34;2,915432;;2,915432;2,992937;0,077505;;;0,077499;-0,001226;-0,078725;;
35;2,992937;;2,992937;2,992943;6,00E-06;;;-0,001226;6,40E-05;0,00129;;
36;2,992943;;2,992943;2,994175;0,001232;;;6,40E-05;0,000736;0,000672;;
37;2,994175;;2,994175;2,995343;0,001168;;;0,000736;-0,070207;-0,070943;;
38;2,995343;;2,995343;2,995775;0,000432;;;-0,070207;-0,475949;-0,405742;;
39;2,995775;;2,995775;3,066414;0,070639;;;-0,475949;0,486851;0,9628;;
40;3,066414;;3,066414;3,613002;0,546588;;;0,486851;-1,505903;-1,992754;;
41;3,613002;;3,613002;3,672739;0,059737;;;-1,505903;1,565636;3,071539;;
42;3,672739;;3,672739;5,238379;1,56564;;;1,565636;-0,049788;-1,615424;;
43;5,238379;;5,238379;5,238383;4,00E-06;;;-0,049788;0,049791;0,099579;;
44;5,238383;;5,238383;5,288175;0,049792;;;0,049791;-0,133496;-0,183287;;
45;5,288175;;5,288175;5,288176;1,00E-06;;;-0,133496;0,068694;0,20219;;
46;5,288176;;5,288176;5,421673;0,133497;;;0,068694;0,064801;-0,003893;;
47;5,421673;;5,421673;5,486476;0,064803;;;0,064801;-0,040084;-0,104885;;
48;5,486476;;5,486476;5,486478;2,00E-06;;;-0,040084;-0,501622;-0,461538;;
